t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
7.409904,0.35,0.838,-0.282,-97.0,,,
7.459952,0.338,0.864,-0.286,-97.0,,,
7.51,0.352,0.78,-0.244,-97.0,,,
7.559856,0.35,0.802,-0.25,-99.0,,,
7.609904,0.352,0.846,-0.232,-99.0,,,
7.659952,0.354,0.846,-0.242,-99.0,,,
7.71,0.348,0.876,-0.232,-99.0,,,
7.759856,0.354,0.856,-0.232,-101.0,,,
7.809904,0.344,0.85,-0.224,-101.0,,,
7.859952,0.358,0.84,-0.232,-101.0,,,
7.91,0.334,0.732,-0.19,-101.0,,,
7.960856,0.376,0.944,-0.26,-98.0,,,
8.010904,0.39,0.93,-0.242,-98.0,,,
8.060952,0.416,0.822,-0.174,-98.0,,,
8.111,0.454,0.888,-0.068,-98.0,,,
8.160856,0.486,0.85,-0.002,-86.0,,-95.0,
8.210904,0.45,0.878,-0.036,-86.0,,-95.0,
8.260952,0.448,0.83,0.07,-86.0,,-95.0,
8.311,0.432,0.784,0.136,-86.0,,-95.0,
8.360856,0.454,0.808,0.296,-86.0,,-84.0,
8.410904,0.478,0.834,0.318,-86.0,,-84.0,
8.460952,0.464,0.706,0.398,-86.0,,-84.0,
8.511,0.536,0.87,0.352,-86.0,,-84.0,
8.560856,0.528,0.786,0.46,-87.0,,-84.0,
8.610904,0.48,0.766,0.444,-87.0,,-84.0,
8.660952,0.472,0.654,0.646,-87.0,,-84.0,
8.711,0.46,0.59,0.704,-87.0,,-84.0,
9.361856,0.364,0.546,0.902,,,-88.0,
9.411904,0.438,0.496,0.908,,,-88.0,
9.461952,0.36,0.542,0.806,,,-88.0,
9.512,0.326,0.568,0.808,,,-88.0,
9.561856,0.344,0.478,0.802,,,-88.0,
9.611904,0.328,0.486,0.87,,,-88.0,
9.661952,0.368,0.454,0.88,,,-88.0,
9.712,0.39,0.422,0.802,,,-88.0,
9.761856,0.336,0.494,0.78,-102.0,,-87.0,
9.811904,0.358,0.606,0.888,-102.0,,-87.0,
9.861952,0.352,0.544,0.838,-102.0,,-87.0,
9.912,0.344,0.51,0.864,-102.0,,-87.0,
9.962856,0.376,0.55,0.856,,,-87.0,
10.012904,0.35,0.536,0.872,,,-87.0,
10.062952,0.258,0.534,0.846,,,-87.0,
10.113,0.268,0.494,0.944,,,-87.0,
10.162856,0.28,0.392,0.974,-103.0,,-84.0,
10.212904,0.266,0.368,1.074,-103.0,,-84.0,
10.262952,0.302,0.46,0.796,-103.0,,-84.0,
10.313,0.344,0.678,0.396,-103.0,,-84.0,
10.362856,0.398,0.64,0.472,-96.0,,-85.0,
10.412904,0.534,0.664,0.528,-96.0,,-85.0,
10.462952,0.614,0.594,0.504,-96.0,,-85.0,
10.513,0.654,0.678,0.542,-96.0,,-85.0,
10.562856,0.604,0.732,0.53,,,-85.0,
10.612904,0.496,0.704,0.608,,,-85.0,
10.662952,0.476,0.668,0.6,,,-85.0,
10.713,0.518,0.656,0.632,,,-85.0,
10.762856,0.526,0.638,0.572,,,-84.0,
10.812904,0.518,0.67,0.59,,,-84.0,
10.862952,0.536,0.616,0.578,,,-84.0,
10.913,0.544,0.628,0.632,,,-84.0,
10.963856,0.536,0.62,0.63,,,-96.0,
11.013904,0.542,0.64,0.626,,,-96.0,
11.063952,0.526,0.598,0.624,,,-96.0,
11.114,0.542,0.598,0.624,,,-96.0,
11.163856,0.536,0.6,0.622,,,-84.0,
11.213904,0.54,0.578,0.646,,,-84.0,
11.263952,0.568,0.536,0.678,,,-84.0,
11.314,0.486,0.646,0.626,,,-84.0,
11.363856,0.524,0.658,0.59,,,-85.0,
11.413904,0.508,0.61,0.6,,,-85.0,
11.463952,0.524,0.582,0.664,,,-85.0,
11.514,0.514,0.574,0.652,,,-85.0,
11.563856,0.508,0.598,0.676,,,-84.0,
11.613904,0.496,0.576,0.67,,,-84.0,
11.663952,0.494,0.638,0.648,,,-84.0,
11.714,0.518,0.646,0.676,,,-84.0,
11.964856,0.518,0.61,0.652,,,-85.0,
12.014904,0.51,0.63,0.652,,,-85.0,
12.064952,0.508,0.608,0.656,,,-85.0,
12.115,0.52,0.606,0.654,,,-85.0,
12.364856,0.518,0.604,0.638,-93.0,,-98.0,
12.414904,0.502,0.618,0.656,-93.0,,-98.0,
12.464952,0.51,0.614,0.646,-93.0,,-98.0,
12.515,0.52,0.59,0.638,-93.0,,-98.0,
12.564856,0.508,0.608,0.612,,,-85.0,
12.614904,0.384,0.63,0.632,,,-85.0,
12.664952,0.48,0.654,0.62,,,-85.0,
12.715,0.39,0.654,0.718,,,-85.0,
12.764856,0.408,0.524,0.592,-89.0,,-84.0,
12.814904,0.33,0.562,0.608,-89.0,,-84.0,
12.864952,0.4,0.638,0.632,-89.0,,-84.0,
12.915,0.398,0.796,0.562,-89.0,,-84.0,
12.964856,0.384,0.67,0.636,-88.0,,-91.0,
13.014904,0.342,0.798,0.486,-88.0,,-91.0,
13.064952,0.284,0.766,0.496,-88.0,,-91.0,
13.115,0.294,0.956,0.428,-88.0,,-91.0,
13.165856,0.27,1.004,0.36,-89.0,,-81.0,
13.215904,0.27,0.92,0.236,-89.0,,-81.0,
13.265952,0.262,0.974,0.114,-89.0,,-81.0,
13.316,0.286,0.99,0.22,-89.0,,-81.0,
13.365856,0.224,0.926,0.252,-90.0,,-84.0,
13.415904,0.088,0.984,0.318,-90.0,,-84.0,
13.465952,0.056,0.958,0.338,-90.0,,-84.0,
13.516,0.016,0.896,0.312,-90.0,,-84.0,
13.565856,-0.078,1.036,0.232,-101.0,,-78.0,
13.615904,-0.116,0.882,0.23,-101.0,,-78.0,
13.665952,-0.206,0.808,0.312,-101.0,,-78.0,
13.716,-0.336,0.76,0.322,-101.0,,-78.0,
13.765856,-0.466,0.768,0.254,-83.0,,-80.0,
13.815904,-0.542,0.856,0.182,-83.0,,-80.0,
13.865952,-0.61,0.902,0.028,-83.0,,-80.0,
13.916,-0.634,0.752,-0.036,-83.0,,-80.0,
13.965856,-0.552,0.816,-0.36,-85.0,,-79.0,
14.015904,-0.616,0.81,-0.11,-85.0,,-79.0,
14.065952,-0.686,0.29,-0.056,-85.0,,-79.0,
14.116,-0.642,0.444,-0.312,-85.0,,-79.0,
14.166856,-0.638,0.434,-0.434,-81.0,,-81.0,
14.216904,-0.568,0.412,-0.61,-81.0,,-81.0,
14.266952,-0.602,0.344,-0.52,-81.0,,-81.0,
14.317,-0.606,0.688,-0.696,-81.0,,-81.0,
14.366856,-0.51,0.248,-0.728,-86.0,,-86.0,
14.416904,-0.554,0.226,-0.644,-86.0,,-86.0,
14.466952,-0.596,0.172,-0.724,-86.0,,-86.0,
14.517,-0.516,0.096,-0.714,-86.0,,-86.0,
14.566856,-0.46,0.03,-0.634,-80.0,,-95.0,
14.616904,-0.436,0.104,-0.788,-80.0,,-95.0,
14.666952,-0.346,-0.098,-0.872,-80.0,,-95.0,
14.717,-0.542,-0.09,-0.666,-80.0,,-95.0,
14.766856,-0.64,0.012,-0.596,-86.0,,-83.0,
14.816904,-0.514,-0.04,-0.676,-86.0,,-83.0,
14.866952,-0.384,-0.176,-0.792,-86.0,,-83.0,
14.917,-0.4,-0.204,-0.804,-86.0,,-83.0,
14.966856,-0.504,-0.112,-0.738,-83.0,,,
15.016904,-0.474,-0.048,-0.676,-83.0,,,
15.066952,-0.378,-0.08,-0.754,-83.0,,,
15.117,-0.398,-0.026,-0.762,-83.0,,,
15.167856,-0.408,-0.05,-0.756,-82.0,,-93.0,
15.217904,-0.4,-0.018,-0.738,-82.0,,-93.0,
15.267952,-0.4,-0.02,-0.8,-82.0,,-93.0,
15.318,-0.394,-0.008,-0.752,-82.0,,-93.0,
15.367856,-0.394,-0.002,-0.788,-89.0,,-83.0,
15.417904,-0.354,0.002,-0.82,-89.0,,-83.0,
15.467952,-0.368,0.016,-0.794,-89.0,,-83.0,
15.518,-0.37,0.048,-0.83,-89.0,,-83.0,
15.567856,-0.354,0.048,-0.848,-81.0,,-83.0,
15.617904,-0.362,0.084,-0.77,-81.0,,-83.0,
15.667952,-0.356,0.014,-0.76,-81.0,,-83.0,
15.718,-0.384,-0.014,-0.808,-81.0,,-83.0,
15.767856,-0.388,-0.018,-0.782,-79.0,,-85.0,
15.817904,-0.362,-0.018,-0.796,-79.0,,-85.0,
15.867952,-0.35,-0.04,-0.83,-79.0,,-85.0,
15.918,-0.368,-0.042,-0.77,-79.0,,-85.0,
15.967856,-0.38,-0.024,-0.776,-80.0,,-86.0,
16.017904,-0.36,-0.024,-0.772,-80.0,,-86.0,
16.067952,-0.35,-0.024,-0.808,-80.0,,-86.0,
16.118,-0.254,-0.144,-0.882,-80.0,,-86.0,
16.168856,-0.328,0.006,-0.836,-81.0,,-87.0,
16.218904,-0.4,0.126,-0.788,-81.0,,-87.0,
16.268952,-0.35,0.024,-0.734,-81.0,,-87.0,
16.319,-0.306,-0.084,-0.756,-81.0,,-87.0,
16.368856,-0.304,-0.096,-0.816,-80.0,,-89.0,
16.418904,-0.346,-0.042,-0.824,-80.0,,-89.0,
16.468952,-0.318,-0.03,-0.826,-80.0,,-89.0,
16.519,-0.292,-0.05,-0.798,-80.0,,-89.0,
16.568856,-0.27,-0.024,-0.852,-79.0,,-91.0,
16.618904,-0.318,0.016,-0.8,-79.0,,-91.0,
16.668952,-0.292,-0.008,-0.8,-79.0,,-91.0,
16.719,-0.26,-0.002,-0.846,-79.0,,-91.0,
16.768856,-0.334,-0.036,-0.84,-80.0,,,
16.818904,-0.37,-0.068,-0.766,-80.0,,,
16.868952,-0.344,-0.1,-0.756,-80.0,,,
16.919,-0.206,-0.08,-0.856,-80.0,,,
16.968856,-0.302,-0.042,-0.814,-80.0,,,
17.018904,-0.324,-0.08,-0.802,-80.0,,,
17.068952,-0.32,-0.062,-0.724,-80.0,,,
17.119,-0.24,-0.1,-0.748,-80.0,,,
17.169856,-0.254,-0.11,-0.858,-80.0,,-93.0,
17.219904,-0.258,-0.066,-0.858,-80.0,,-93.0,
17.269952,-0.258,-0.074,-0.89,-80.0,,-93.0,
17.32,-0.238,-0.074,-0.852,-80.0,,-93.0,
17.369856,-0.248,-0.058,-0.864,-79.0,,-94.0,
17.419904,-0.266,-0.032,-0.82,-79.0,,-94.0,
17.469952,-0.238,-0.026,-0.828,-79.0,,-94.0,
17.52,-0.256,-0.04,-0.856,-79.0,,-94.0,
17.569856,-0.27,-0.032,-0.81,-82.0,,-98.0,
17.619904,-0.288,-0.036,-0.794,-82.0,,-98.0,
17.669952,-0.282,-0.072,-0.83,-82.0,,-98.0,
17.72,-0.274,-0.094,-0.83,-82.0,,-98.0,
17.769856,-0.284,-0.096,-0.826,-86.0,,-88.0,
17.819904,-0.29,-0.058,-0.818,-86.0,,-88.0,
17.869952,-0.318,-0.05,-0.81,-86.0,,-88.0,
17.92,-0.306,-0.03,-0.83,-86.0,,-88.0,
17.969856,-0.288,-0.026,-0.828,-85.0,,,
18.019904,-0.302,-0.008,-0.824,-85.0,,,
18.069952,-0.306,-0.014,-0.81,-85.0,,,
18.12,-0.314,-0.004,-0.802,-85.0,,,
18.169856,-0.272,-0.032,-0.936,-86.0,,-89.0,
18.219904,-0.356,0.014,-0.712,-86.0,,-89.0,
18.269952,-0.328,0.12,-0.808,-86.0,,-89.0,
18.32,-0.24,0.03,-0.84,-86.0,,-89.0,
18.370856,-0.34,0.094,-0.77,-85.0,,-89.0,
18.420904,-0.328,0.092,-0.784,-85.0,,-89.0,
18.470952,-0.298,0.096,-0.808,-85.0,,-89.0,
18.521,-0.324,0.104,-0.792,-85.0,,-89.0,
18.570856,-0.346,0.146,-0.772,-85.0,,-92.0,
18.620904,-0.346,0.156,-0.804,-85.0,,-92.0,
18.670952,-0.346,0.16,-0.782,-85.0,,-92.0,
18.721,-0.336,0.178,-0.794,-85.0,,-92.0,
18.770856,-0.356,0.178,-0.784,-85.0,,,
18.820904,-0.362,0.176,-0.78,-85.0,,,
18.870952,-0.34,0.192,-0.774,-85.0,,,
18.921,-0.36,0.2,-0.77,-85.0,,,
18.970856,-0.366,0.224,-0.776,-83.0,,-94.0,
19.020904,-0.414,0.286,-0.73,-83.0,,-94.0,
19.070952,-0.316,0.232,-0.8,-83.0,,-94.0,
19.121,-0.338,0.222,-0.77,-83.0,,-94.0,
19.170856,-0.37,0.232,-0.762,-83.0,,-93.0,
19.220904,-0.37,0.224,-0.732,-83.0,,-93.0,
19.270952,-0.368,0.262,-0.722,-83.0,,-93.0,
19.321,-0.372,0.24,-0.76,-83.0,,-93.0,
19.371856,-0.386,0.274,-0.752,-82.0,,-92.0,
19.421904,-0.392,0.302,-0.718,-82.0,,-92.0,
19.471952,-0.442,0.334,-0.724,-82.0,,-92.0,
19.522,-0.48,0.432,-0.596,-82.0,,-92.0,
19.571856,-0.36,0.254,-0.772,-79.0,,,
19.621904,-0.25,0.194,-0.848,-79.0,,,
19.671952,-0.376,0.312,-0.724,-79.0,,,
19.722,-0.446,0.352,-0.656,-79.0,,,
19.771856,-0.4,0.284,-0.8,-79.0,,-88.0,
19.821904,-0.378,0.086,-0.754,-79.0,,-88.0,
19.871952,-0.426,0.296,-0.64,-79.0,,-88.0,
19.922,-0.4,0.258,-0.754,-79.0,,-88.0,
19.971856,-0.4,0.288,-0.816,-79.0,,-91.0,
20.021904,-0.436,0.28,-0.74,-79.0,,-91.0,
20.071952,-0.41,0.268,-0.754,-79.0,,-91.0,
20.122,-0.45,0.27,-0.594,-79.0,,-91.0,
20.171856,-0.456,0.318,-0.692,-79.0,,,
20.221904,-0.414,0.262,-0.692,-79.0,,,
20.271952,-0.418,0.328,-0.682,-79.0,,,
20.322,-0.442,0.352,-0.648,-79.0,,,
20.372856,-0.432,0.346,-0.688,-79.0,,,
20.422904,-0.674,0.432,-0.618,-79.0,,,
20.472952,-0.314,0.044,-0.746,-79.0,,,
20.523,-0.46,0.318,-0.69,-79.0,,,
20.572856,-0.564,0.448,-0.612,-79.0,,-101.0,
20.622904,-0.392,0.3,-0.736,-79.0,,-101.0,
20.672952,-0.412,0.422,-0.734,-79.0,,-101.0,
20.723,-0.474,0.312,-0.656,-79.0,,-101.0,
20.772856,-0.304,0.27,-0.762,-78.0,,-91.0,
20.822904,-0.446,0.488,-0.664,-78.0,,-91.0,
20.872952,-0.546,0.536,-0.686,-78.0,,-91.0,
20.923,-0.416,0.478,-0.642,-78.0,,-91.0,
20.972856,-0.378,0.536,-0.554,-84.0,,-84.0,
21.022904,-0.564,0.686,-0.388,-84.0,,-84.0,
21.072952,-0.52,1.084,-0.344,-84.0,,-84.0,
21.123,-0.482,1.448,-0.26,-84.0,,-84.0,
21.172856,-0.34,1.142,-0.288,-104.0,,-86.0,
21.222904,-0.142,0.48,0.422,-104.0,,-86.0,
21.272952,0.104,0.526,0.56,-104.0,,-86.0,
21.323,0.514,1.038,0.412,-104.0,,-86.0,
21.373856,0.524,1.12,0.224,-86.0,,-87.0,
21.423904,0.478,0.926,0.126,-86.0,,-87.0,
21.473952,0.51,0.806,0.412,-86.0,,-87.0,
21.524,0.48,0.62,0.328,-86.0,,-87.0,
21.573856,0.45,0.48,0.432,-85.0,,-85.0,
21.623904,0.462,0.382,0.328,-85.0,,-85.0,
21.673952,0.638,0.37,0.352,-85.0,,-85.0,
21.724,0.744,0.224,0.384,-85.0,,-85.0,
21.773856,0.944,0.288,0.45,-93.0,,-87.0,
21.823904,0.934,0.322,0.32,-93.0,,-87.0,
21.873952,0.864,0.344,0.494,-93.0,,-87.0,
21.924,0.864,0.172,0.414,-93.0,,-87.0,
21.973856,0.908,0.286,0.412,-90.0,,-88.0,
22.023904,0.876,0.318,0.438,-90.0,,-88.0,
22.073952,0.974,0.24,0.488,-90.0,,-88.0,
22.124,0.9,0.37,0.428,-90.0,,-88.0,
22.173856,0.822,0.194,0.402,-89.0,,-87.0,
22.223904,0.824,0.32,0.386,-89.0,,-87.0,
22.273952,0.856,0.398,0.318,-89.0,,-87.0,
22.324,0.824,0.382,0.286,-89.0,,-87.0,
22.374856,0.806,0.36,0.306,-90.0,,-84.0,
22.424904,0.702,0.382,0.336,-90.0,,-84.0,
22.474952,0.606,0.4,0.262,-90.0,,-84.0,
22.525,0.504,0.382,0.134,-90.0,,-84.0,
22.574856,0.35,0.352,0.11,-83.0,,-81.0,
22.624904,0.384,0.332,0.102,-83.0,,-81.0,
22.674952,0.16,0.966,0.088,-83.0,,-81.0,
22.725,0.07,1.33,0.044,-83.0,,-81.0,
22.774856,-0.126,1.41,-0.008,-93.0,,-82.0,
22.824904,-0.046,1.944,0.012,-93.0,,-82.0,
22.874952,0.12,1.078,-0.016,-93.0,,-82.0,
22.925,0.008,0.972,0.16,-93.0,,-82.0,
22.974856,-0.172,0.952,0.066,-78.0,,-96.0,
23.024904,-0.146,1.302,0.034,-78.0,,-96.0,
23.074952,-0.304,0.83,0.076,-78.0,,-96.0,
23.125,-0.29,0.878,0.128,-78.0,,-96.0,
23.174856,-0.328,0.96,0.158,-85.0,,-90.0,
23.224904,-0.314,0.88,0.076,-85.0,,-90.0,
23.274952,-0.28,0.914,0.07,-85.0,,-90.0,
23.325,-0.328,0.888,0.13,-85.0,,-90.0,
23.374856,-0.346,0.944,0.128,-83.0,,-90.0,
23.424904,-0.286,0.888,0.096,-83.0,,-90.0,
23.474952,-0.27,0.888,0.086,-83.0,,-90.0,
23.525,-0.2,0.864,0.006,-83.0,,-90.0,
23.575856,-0.36,1.048,0.142,-77.0,,-82.0,
23.625904,-0.336,0.934,-0.008,-77.0,,-82.0,
23.675952,-0.254,0.926,0.07,-77.0,,-82.0,
23.726,-0.468,0.778,0.26,-77.0,,-82.0,
23.775856,-0.596,0.608,0.248,-80.0,,-80.0,
23.825904,-0.61,0.432,-0.016,-80.0,,-80.0,
23.875952,-0.682,0.274,-0.21,-80.0,,-80.0,
23.926,-0.904,0.656,-0.478,-80.0,,-80.0,
23.975856,-0.948,0.37,-0.974,-79.0,,-76.0,
24.025904,-0.784,0.742,-1.466,-79.0,,-76.0,
24.075952,-0.43,0.562,-1.242,-79.0,,-76.0,
24.126,-0.856,0.428,0.242,-79.0,,-76.0,
24.175856,-0.8,0.064,-0.4,-79.0,,-77.0,
24.225904,-0.804,-0.08,-0.64,-79.0,,-77.0,
24.275952,-0.738,-0.04,-0.532,-79.0,,-77.0,
24.326,-0.89,0.08,-0.356,-79.0,,-77.0,
24.375856,-0.884,0.172,-0.484,-77.0,,-87.0,
24.425904,-0.8,0.136,-0.386,-77.0,,-87.0,
24.475952,-0.756,0.07,-0.378,-77.0,,-87.0,
24.526,-0.738,0.094,-0.398,-77.0,,-87.0,
24.576856,-0.76,0.254,-0.32,-79.0,,-86.0,
24.626904,-0.794,-0.164,-0.4,-79.0,,-86.0,
24.676952,-0.754,0.542,-0.564,-79.0,,-86.0,
24.727,-0.744,-0.122,-0.314,-79.0,,-86.0,
24.776856,-0.754,0.08,-0.236,-78.0,,-84.0,
24.826904,-0.762,0.224,-0.464,-78.0,,-84.0,
24.876952,-0.784,0.302,-0.578,-78.0,,-84.0,
24.927,-0.8,0.176,-0.4,-78.0,,-84.0,
24.976856,-0.896,0.124,-0.272,-78.0,,-84.0,
